test,genotype,cross,plant_no,plot,year,loc,mg,fc,pb,md,yield,seed_weight,gs_gl,ht,det,ldg,ag_score,oil_dry_basis,protein_dry_basis
Plant Rows,N21-1334,Mx17-48-2,44,RM21-1334,2021,CLA,6.0-6.5,W,T,52,1222.7,13.6,,,S,,x,22.05,43.76
Plant Rows,N21-1335,Mx17-48-2,46,RM21-1335,2021,CLA,6.0-6.5,P,T,52,981,12.7,,,I,,3,21.99,44.04
Plant Rows,N21-1336,Mx17-48-2,47,RM21-1336,2021,CLA,6.0-6.5,P,G,52,1148.3,13.9,,,I,,2.5,20.57,44.74
Plant Rows,N21-1337,Mx17-48-2,50,RM21-1337,2021,CLA,6.0-6.5,W,S,52,605.8,12.9,,,D,,x,21.98,46.71
Plant Rows,N21-1338,Mx17-48-2,53,RM21-1338,2021,CLA,6.0-6.5,W,T,52,538.6,13.7,,,I,,3.5,20.7,48.27
Plant Rows,N21-1339,Mx17-48-2,54,RM21-1339,2021,CLA,6.0-6.5,W,T,52,873.5,15.9,,,I,,3,20.48,46.36
Plant Rows,N21-1340,Mx17-48-2,56,RM21-1340,2021,CLA,6.0-6.5,W,G,52,624,14.4,,,I,,3,20.31,47.62
Plant Rows,N21-1341,Mx17-48-2,59,RM21-1341,2021,CLA,6.0-6.5,S,T,52,728.4,13,,,I,,3,22.88,43.7
Plant Rows,N21-1342,Mx17-48-2,60,RM21-1342,2021,CLA,6.0-6.5,P,T,52,749.6,13.1,,,I,,3.5,22.91,44.15
Plant Rows,N21-1343,Mx17-48-2,63,RM21-1343,2021,CLA,6.0-6.5,P,T,52,811.9,12.8,,,I,,3,22.98,43.51
Plant Rows,N21-1344,Mx17-48-2,64,RM21-1344,2021,CLA,6.0-6.5,W,T,52,974.5,13.8,,,I,,3,20.9,46.24
Plant Rows,N21-1345,Mx17-48-2,66,RM21-1345,2021,CLA,6.0-6.5,W,T,52,1071,13.1,,,I,,2.5,23.01,42.76
Plant Rows,N21-1346,Mx17-48-2,67,RM21-1346,2021,CLA,6.0-6.5,W,G,52,871.4,13.7,,,I,,2.5,21.25,47.37
Plant Rows,N21-1347,Mx17-48-2,68,RM21-1347,2021,CLA,6.0-6.5,W,G,52,841.2,14.1,,,I,,3,21.65,44.87
Plant Rows,N21-1348,Mx17-48-2,69,RM21-1348,2021,CLA,6.0-6.5,W,G,52,651.6,14.3,,,I,,3.5,20.77,45.16
Plant Rows,N21-1349,Mx17-48-2,70,RM21-1349,2021,CLA,6.0-6.5,W,G,52,233.4,14.2,,,I,,4,21.44,46.45
Plant Rows,N21-1350,Mx17-48-2,71,RM21-1350,2021,CLA,6.0-6.5,W,T,52,320.4,14.3,,,I,,4,21.18,47.65
Plant Rows,N21-1351,CHECK,Dunphy,RM21-1351,2021,CLA,6.0-6.5,P,G,52,954.9,15.4,,,D,,,22.43,40.47
Plant Rows,N21-1352,CHECK,Dilday,RM21-1352,2021,CLA,6.0-6.5,P,G,52,500.4,15.9,,,D,,,24.63,39.27
Plant Rows,N21-1353,CHECK,USDA-N6005,RM21-1353,2021,CLA,6.0-6.5,W,G,52,860.3,10.9,,,D,,,24.24,38.34
Plant Rows,N21-1354,CHECK,NC-Dunphy,RM21-1354,2021,CLA,6.6-7,P,G,52,799.9,15.2,,,D,,,23.28,39.74
Plant Rows,N21-1355,CHECK,NC-Dilday,RM21-1355,2021,CLA,6.6-7,P,G,52,635.5,13.8,,,D,,,24.5,39.37
Plant Rows,N21-1357,Mx17-10,4,RM21-1357,2021,CLA,6.6-7.0,W,T,52,780.9,16.1,,,I,,3,24.01,41.74
Plant Rows,N21-1358,Mx17-10,5,RM21-1358,2021,CLA,6.6-7.0,W,T,52,911.8,14.5,,,I,,2,22.86,43.27
Plant Rows,N21-1359,Mx17-10,8,RM21-1359,2021,CLA,6.6-7.0,W,T,52,791.5,14.2,,,I,,3,24.12,43.39
Plant Rows,N21-1360,Mx17-10,10,RM21-1360,2021,CLA,6.6-7.0,W,T,52,717.1,12.2,,,I,,3,23.99,42.12
Plant Rows,N21-1361,Mx17-10,11,RM21-1361,2021,CLA,6.6-7.0,W,G,52,959.6,14.6,,,I,,2.5,24.02,43
Plant Rows,N21-1362,Mx17-12,4,RM21-1362,2021,CLA,6.6-7.0,P,T,52,842.7,12.2,,,I,,2,21.12,44.05
Plant Rows,N21-1363,Mx17-12,5,RM21-1363,2021,CLA,6.6-7.0,P,T,52,754.9,13.9,,,D,,3,22.42,44.36
Plant Rows,N21-1364,Mx17-12,6,RM21-1364,2021,CLA,6.6-7.0,W,G,52,919.6,14,,,D,,2,24.11,41.38
Plant Rows,N21-1365,Mx17-12,10,RM21-1365,2021,CLA,6.6-7.0,W,G,52,928.7,14.1,,,D,,2,23.7,41.45
Plant Rows,N21-1366,Mx17-12,11,RM21-1366,2021,CLA,6.6-7.0,P,G,52,593.4,16.2,,,D,,2.5,20.77,45.71
Plant Rows,N21-1367,Mx17-12,21,RM21-1367,2021,CLA,6.6-7.0,P,G,52,1239.9,12.7,,,I,,2,21.52,44.69
Plant Rows,N21-1368,Mx17-12,24,RM21-1368,2021,CLA,6.6-7.0,W,T,52,682.1,13.5,,,I,,3,21.24,44.71
Plant Rows,N21-1369,Mx17-12,29,RM21-1369,2021,CLA,6.6-7.0,W,G,57,987.6,14,,,I,,2,21.07,44.37
Plant Rows,N21-1370,Mx17-12,34,RM21-1370,2021,CLA,6.6-7.0,P,G,55,1043.7,12.1,,,I,,2,22.92,40.87
Plant Rows,N21-1371,Mx17-12,46,RM21-1371,2021,CLA,6.6-7.0,W,T,52,771.5,12.4,,,S,,x,21.67,43.74
Plant Rows,N21-1372,Mx17-12,48,RM21-1372,2021,CLA,6.6-7.0,W,S,52,1152.8,12.2,,,I,,x,22.46,41.83
Plant Rows,N21-1373,Mx17-12,51,RM21-1373,2021,CLA,6.6-7.0,P,T,52,673.6,13.6,,,I,,3,23.17,40.01
Plant Rows,N21-1374,Mx17-12,62,RM21-1374,2021,CLA,6.6-7.0,P,G,57,537.4,14.4,,,I,,4,23.69,42.1
Plant Rows,N21-1376,Mx17-12,70,RM21-1376,2021,CLA,6.6-7.0,P,T,59,652.6,16.8,,,I,,3.5,22.05,43.7
Plant Rows,N21-1377,Mx17-12,71,RM21-1377,2021,CLA,6.6-7.0,P,G,52,1274,15.3,,,D,,2,22.19,45.21
Plant Rows,N21-1378,Mx17-12,72,RM21-1378,2021,CLA,6.6-7.0,P,T,52,464.7,13,,,D,,3.5,22.25,44.34
Plant Rows,N21-1379,Mx17-12,75,RM21-1379,2021,CLA,6.6-7.0,W,S,60,537.9,15.1,,,D,,x,24.22,42.54
Plant Rows,N21-1380,Mx17-12,77,RM21-1380,2021,CLA,6.6-7.0,P,T,52,640.4,17.6,,,D,,4,24.04,40.53
Plant Rows,N21-1381,Mx17-15,1,RM21-1381,2021,CLA,6.6-7.0,W,G,52,1154.2,15.8,,,I,,3,22.16,43.36
Plant Rows,N21-1382,Mx17-15,4,RM21-1382,2021,CLA,6.6-7.0,W,G,52,705.9,15.3,,,D,,3.5,22.54,43.92
Plant Rows,N21-1383,Mx17-15,5,RM21-1383,2021,CLA,6.6-7.0,P,G,52,1071.9,16.3,,,I,,2.5,22.31,43.02
Plant Rows,N21-1384,Mx17-15,6,RM21-1384,2021,CLA,6.6-7.0,P,G,61,787.1,16.6,,,I,,4,22.61,44.25
Plant Rows,N21-1385,Mx17-15,7,RM21-1385,2021,CLA,6.6-7.0,P,G,52,816.6,16.7,,,I,,3.5,22.16,44.7
Plant Rows,N21-1386,Mx17-15,10,RM21-1386,2021,CLA,6.6-7.0,P,G,52,777.8,14.5,,,I,,4,21.47,43.89
Plant Rows,N21-1387,Mx17-15,11,RM21-1387,2021,CLA,6.6-7.0,P,G,52,984.8,16.7,,,D,,3.5,22.72,42.82
Plant Rows,N21-1388,Mx17-15,12,RM21-1388,2021,CLA,6.6-7.0,P,G,57,747.9,16.8,,,D,,3.5,22.66,45.48
Plant Rows,N21-1389,Mx17-15,14,RM21-1389,2021,CLA,6.6-7.0,W,G,58,901.9,15.9,,,D,,3,22.06,42.94
Plant Rows,N21-1390,Mx17-15,16,RM21-1390,2021,CLA,6.6-7.0,W,G,58,876,16.5,,,D,,3.5,23.05,42.39
Plant Rows,N21-1391,Mx17-15,18,RM21-1391,2021,CLA,6.6-7.0,P,G,52,943.4,15.9,,,D,,3.5,22.5,44.15
Plant Rows,N21-1392,Mx17-15,19,RM21-1392,2021,CLA,6.6-7.0,W,G,57,925.5,16.7,,,I,,3,22.32,43.04
Plant Rows,N21-1393,Mx17-15,21,RM21-1393,2021,CLA,6.6-7.0,P,G,54,732.1,18.1,,,D,,3.5,21.94,44.08
Plant Rows,N21-1394,Mx17-15,23,RM21-1394,2021,CLA,6.6-7.0,P,G,59,808,18.1,,,I,,3,20.46,44.06
Plant Rows,N21-1395,Mx17-15,27,RM21-1395,2021,CLA,6.6-7.0,P,G,52,1073.6,18.5,,,I,,4,21.3,45.63
Plant Rows,N21-1396,Mx17-15,31,RM21-1396,2021,CLA,6.6-7.0,W,G,57,710.9,15.3,,,I,,3,22.76,41.78
Plant Rows,N21-1397,Mx17-15,32,RM21-1397,2021,CLA,6.6-7.0,P,G,52,755.8,15.8,,,I,,3.5,21.91,45.84
Plant Rows,N21-1398,Mx17-15,37,RM21-1398,2021,CLA,6.6-7.0,W,G,52,946.8,16,,,I,,3,21.65,43.11
Plant Rows,N21-1399,Mx17-15,38,RM21-1399,2021,CLA,6.6-7.0,W,G,57,1161.4,15.1,,,D,,2,23.13,41.32
Plant Rows,N21-1400,Mx17-15,39,RM21-1400,2021,CLA,6.6-7.0,P,G,57,931.6,17.3,,,D,,2.5,21.91,44.41
Plant Rows,N21-1401,Mx17-15,42,RM21-1401,2021,CLA,6.6-7.0,W,G,52,487.1,16.4,,,I,,4,22.13,44.7
Plant Rows,N21-1402,Mx17-15,50,RM21-1402,2021,CLA,6.6-7.0,W,G,58,404.3,18.9,,,D,,4,21.24,46.57
Plant Rows,N21-1403,Mx17-15,51,RM21-1403,2021,CLA,6.6-7.0,P,G,59,335.8,17,,,D,,4.5,21.17,44.68
Plant Rows,N21-1404,Mx17-15,52,RM21-1404,2021,CLA,6.6-7.0,P,G,59,1062.6,17.5,,,D,,4,22.35,42.27
Plant Rows,N21-1405,Mx17-15,53,RM21-1405,2021,CLA,6.6-7.0,W,G,60,389.7,16.6,,,D,,4,20.42,45.73
Plant Rows,N21-1406,Mx17-15,55,RM21-1406,2021,CLA,6.6-7.0,P,G,63,636.6,18.5,,,D,,3.5,22.46,43.66
Plant Rows,N21-1407,Mx17-15,56,RM21-1407,2021,CLA,6.6-7.0,W,G,63,536.1,19.3,,,D,,4,20.19,47.28
Plant Rows,N21-1408,Mx17-15,60,RM21-1408,2021,CLA,6.6-7.0,W,G,63,443.8,18.7,,,D,,4,20.17,47
Plant Rows,N21-1409,Mx17-15,61,RM21-1409,2021,CLA,6.6-7.0,P,G,59,878,18.2,,,D,,3,22.19,44.82
Plant Rows,N21-1410,Mx17-15,62,RM21-1410,2021,CLA,6.6-7.0,P,G,59,862.3,16.3,,,D,,3,22.05,43.04
Plant Rows,N21-1411,Mx17-15,63,RM21-1411,2021,CLA,6.6-7.0,W,G,59,951.6,17.5,,,I,,3,21.26,45.45
Plant Rows,N21-1412,Mx17-15,65,RM21-1412,2021,CLA,6.6-7.0,W,G,55,1054.1,14.7,,,I,,3,23.49,43.16
Plant Rows,N21-1413,Mx17-15,68,RM21-1413,2021,CLA,6.6-7.0,P,G,54,949.1,16.7,,,I,,3,21.64,44.18
Plant Rows,N21-1414,Mx17-15,69,RM21-1414,2021,CLA,6.6-7.0,W,G,53,903.1,16.6,,,I,,2.5,21.93,44
Plant Rows,N21-1415,Mx17-15,72,RM21-1415,2021,CLA,6.6-7.0,P,G,60,675.3,17.5,,,I,,3.5,22.05,43.93
Plant Rows,N21-1416,Mx17-15,73,RM21-1416,2021,CLA,6.6-7.0,W,G,55,809.4,16.3,,,I,,3,20.82,46.07
Plant Rows,N21-1417,Mx17-15,74,RM21-1417,2021,CLA,6.6-7.0,W,G,58,769.5,15.9,,,I,,3,21.62,43.25
Plant Rows,N21-1418,Mx17-15,75,RM21-1418,2021,CLA,6.6-7.0,P,G,52,881.6,14.7,,,I,,3.5,22.82,41.61
Plant Rows,N21-1419,Mx17-15,78,RM21-1419,2021,CLA,6.6-7.0,W,G,59,1112.1,15.1,,,I,,3,21.56,43.04
Plant Rows,N21-1420,Mx17-15,79,RM21-1420,2021,CLA,6.6-7.0,W,G,59,1101.2,16.6,,,I,,2,20.92,44.53
Plant Rows,N21-1421,Mx17-16,5,RM21-1421,2021,CLA,6.6-7.0,W,T,52,945.1,13.3,,,I,,3.5,23.09,42.19
Plant Rows,N21-1422,Mx17-16,6,RM21-1422,2021,CLA,6.6-7.0,W,T,52,813.3,13.2,,,I,,3,22.73,43.17
Plant Rows,N21-1423,Mx17-16,7,RM21-1423,2021,CLA,6.6-7.0,W,T,52,1158.5,14.7,,,I,,3,23.1,42.51
Plant Rows,N21-1424,Mx17-16,16,RM21-1424,2021,CLA,6.6-7.0,W,T,52,916.8,14.1,,,I,,2.5,22.76,41.38
Plant Rows,N21-1425,Mx17-16,17,RM21-1425,2021,CLA,6.6-7.0,P,T,59,1022.9,14.8,,,I,,3,23.19,40.94
Plant Rows,N21-1426,Mx17-16,37,RM21-1426,2021,CLA,6.6-7.0,P,G,52,1190.9,16.6,,,I,,2.5,23.46,41.63
Plant Rows,N21-1427,Mx17-16,47,RM21-1427,2021,CLA,6.6-7.0,P,G,53,1059.2,12,,,I,,2.5,23.61,39.64
Plant Rows,N21-1428,Mx17-16,53,RM21-1428,2021,CLA,6.6-7.0,P,G,52,1345.1,14.1,,,I,,2.5,23.48,40.83
Plant Rows,N21-1429,Mx17-16,57,RM21-1429,2021,CLA,6.6-7.0,W,G,63,983.1,15.6,,,I,,2.5,22.41,40.5
Plant Rows,N21-1430,Mx17-16,58,RM21-1430,2021,CLA,6.6-7.0,P,G,54,698.3,13.4,,,I,,3,22.57,43.82
Plant Rows,N21-1431,Mx17-21,1,RM21-1431,2021,CLA,6.6-7.0,W,T,52,912.3,14.2,,,I,,3,22.77,42.29
Plant Rows,N21-1432,Mx17-21,2,RM21-1432,2021,CLA,6.6-7.0,W,T,52,401.5,17.1,,,I,,4,22.19,45
Plant Rows,N21-1433,Mx17-21,3,RM21-1433,2021,CLA,6.6-7.0,W,T,52,594.6,17.1,,,I,,4,21.25,46.6
Plant Rows,N21-1434,Mx17-21,4,RM21-1434,2021,CLA,6.6-7.0,W,T,52,787.4,14.6,,,D,,3.5,23.33,44.63
Plant Rows,N21-1435,Mx17-21,5,RM21-1435,2021,CLA,6.6-7.0,W,T,52,700,15.5,,,I,,3.5,22.17,44.86
Plant Rows,N21-1436,Mx17-21,7,RM21-1436,2021,CLA,6.6-7.0,W,T,52,1114.5,15.7,,,I,,2.5,22.1,43.48
Plant Rows,N21-1437,Mx17-21,8,RM21-1437,2021,CLA,6.6-7.0,W,T,52,917,18.1,,,I,,3.5,22.02,44.64
Plant Rows,N21-1438,Mx17-21,9,RM21-1438,2021,CLA,6.6-7.0,W,T,52,887.6,14.6,,,I,,2.5,22.25,42.55
Plant Rows,N21-1439,Mx17-21,10,RM21-1439,2021,CLA,6.6-7.0,P,T,52,1101.8,13.9,,,I,,3,21.62,45.16
Plant Rows,N21-1440,Mx17-21,11,RM21-1440,2021,CLA,6.6-7.0,P,T,52,1055.8,15,,,I,,2.5,22.07,44.94
Plant Rows,N21-1441,Mx17-21,14,RM21-1441,2021,CLA,6.6-7.0,P,T,52,928.7,14.9,,,D,,4,22.06,42.62
Plant Rows,N21-1442,Mx17-21,15,RM21-1442,2021,CLA,6.6-7.0,W,T,52,988.5,15.2,,,I,,3.5,21.59,44.73
Plant Rows,N21-1443,Mx17-21,17,RM21-1443,2021,CLA,6.6-7.0,S,T,52,853.6,17.3,,,I,,3.5,21.56,44.22
Plant Rows,N21-1444,Mx17-21,18,RM21-1444,2021,CLA,6.6-7.0,W,T,52,1091.7,14.3,,,I,,3,22.87,45.36
Plant Rows,N21-1445,Mx17-21,19,RM21-1445,2021,CLA,6.6-7.0,W,T,52,915.4,16,,,I,,3,21.77,43.54
Plant Rows,N21-1446,Mx17-21,20,RM21-1446,2021,CLA,6.6-7.0,P,T,52,850.4,14.4,,,I,,3,22.23,44.45
Plant Rows,N21-1447,Mx17-21,21,RM21-1447,2021,CLA,6.6-7.0,W,T,52,956,17,,,I,,4.5,21.27,46.17
Plant Rows,N21-1448,Mx17-21,22,RM21-1448,2021,CLA,6.6-7.0,W,T,52,1109.8,15.2,,,I,,3,22.27,46.03
Plant Rows,N21-1449,Mx17-21,23,RM21-1449,2021,CLA,6.6-7.0,P,T,52,999.3,15,,,I,,2.5,21.32,46.36
Plant Rows,N21-1450,Mx17-21,24,RM21-1450,2021,CLA,6.6-7.0,P,T,52,837.5,15.6,,,I,,3,21.9,46.38
Plant Rows,N21-1451,Mx17-21,25,RM21-1451,2021,CLA,6.6-7.0,W,T,52,941.3,15,,,I,,3.5,22.31,45.1
Plant Rows,N21-1452,Mx17-21,26,RM21-1452,2021,CLA,6.6-7.0,W,T,52,1042.2,14,,,D,,2.5,22.74,43.98
Plant Rows,N21-1453,Mx17-21,27,RM21-1453,2021,CLA,6.6-7.0,W,T,52,907.1,15.5,,,D,,2.5,22.57,44.29
Plant Rows,N21-1454,Mx17-21,28,RM21-1454,2021,CLA,6.6-7.0,P,T,52,1133,15.8,,,D,,2.5,22.14,45.28
Plant Rows,N21-1455,Mx17-21,30,RM21-1455,2021,CLA,6.6-7.0,W,T,52,1098.8,14.2,,,I,,2.5,22.13,44.13
Plant Rows,N21-1456,Mx17-21,31,RM21-1456,2021,CLA,6.6-7.0,W,T,52,1062.6,16.5,,,I,,3,21.1,44.35
Plant Rows,N21-1457,Mx17-21,33,RM21-1457,2021,CLA,6.6-7.0,P,T,52,1073.5,15.8,,,I,,3,21.82,45.7
Plant Rows,N21-1458,Mx17-21,34,RM21-1458,2021,CLA,6.6-7.0,P,T,52,909.1,14.6,,,I,,2.5,22.71,45.16
Plant Rows,N21-1459,Mx17-21,35,RM21-1459,2021,CLA,6.6-7.0,W,T,52,707.8,14.8,,,D,,3.5,22.07,43.79
Plant Rows,N21-1460,Mx17-21,36,RM21-1460,2021,CLA,6.6-7.0,W,T,52,965.5,14.8,,,I,,3,22.09,45.12
Plant Rows,N21-1461,Mx17-21,38,RM21-1461,2021,CLA,6.6-7.0,W,T,52,1153,16.7,,,D,,3,22.17,44.21
Plant Rows,N21-1462,Mx17-21,39,RM21-1462,2021,CLA,6.6-7.0,W,T,52,1047.1,14.3,,,D,,4,22.42,44.9
Plant Rows,N21-1463,Mx17-21,40,RM21-1463,2021,CLA,6.6-7.0,W,T,52,918.1,16.9,,,I,,3.5,22.05,46.83
Plant Rows,N21-1464,Mx17-21,41,RM21-1464,2021,CLA,6.6-7.0,P,T,52,779.7,15,,,I,,3,20.58,47.51
Plant Rows,N21-1465,Mx17-21,42,RM21-1465,2021,CLA,6.6-7.0,P,T,52,849.9,17.7,,,I,,3,21.33,46.6
Plant Rows,N21-1466,Mx17-21,46,RM21-1466,2021,CLA,6.6-7.0,W,T,52,984.9,15.5,,,I,,2.5,21.56,46.75
Plant Rows,N21-1467,Mx17-24,26,RM21-1467,2021,CLA,6.6-7.0,W,T,52,1006.1,15.9,,,D,,3.5,23.57,41.73
Plant Rows,N21-1468,Mx17-25,3,RM21-1468,2021,CLA,6.6-7.0,P,T,52,963.3,18.5,,,I,,3.5,22.34,44.16
Plant Rows,N21-1469,Mx17-25,5,RM21-1469,2021,CLA,6.6-7.0,W,T,52,1135.3,13.7,,,I,,3.5,22.65,42.28
Plant Rows,N21-1470,Mx17-25,6,RM21-1470,2021,CLA,6.6-7.0,W,T,52,1103.4,15.7,,,I,,3.5,22.28,44.43
Plant Rows,N21-1471,Mx17-25,7,RM21-1471,2021,CLA,6.6-7.0,W,S,52,827.9,16.1,,,I,,x,21.74,45.02
Plant Rows,N21-1472,Mx17-25,9,RM21-1472,2021,CLA,6.6-7.0,W,T,52,1217.5,16.8,,,I,,3.5,21.74,43.95
Plant Rows,N21-1473,Mx17-25,10,RM21-1473,2021,CLA,6.6-7.0,W,T,52,1047.7,18,,,I,,3.5,21.6,45.45
Plant Rows,N21-1474,Mx17-25,14,RM21-1474,2021,CLA,6.6-7.0,W,T,52,939.7,14.5,,,I,,3.5,21.74,46.92
Plant Rows,N21-1475,Mx17-25,16,RM21-1475,2021,CLA,6.6-7.0,P,T,52,994.7,16.4,,,I,,3.5,21.35,44.93
Plant Rows,N21-1476,Mx17-25,17,RM21-1476,2021,CLA,6.6-7.0,P,T,52,788.6,16.9,,,I,,3.5,21.66,44.93
Plant Rows,N21-1477,Mx17-25,18,RM21-1477,2021,CLA,6.6-7.0,W,G,52,1011.2,18.1,,,I,,4,19.81,47.76
Plant Rows,N21-1478,Mx17-25,19,RM21-1478,2021,CLA,6.6-7.0,P,T,52,1076.5,15.8,,,I,,3,20.88,44.69
Plant Rows,N21-1479,Mx17-25,21,RM21-1479,2021,CLA,6.6-7.0,W,T,52,1009.9,16.2,,,I,,3,22.21,42.75
Plant Rows,N21-1480,Mx17-25,22,RM21-1480,2021,CLA,6.6-7.0,P,T,52,1173.5,15.1,,,I,,3.5,21.19,44.17
Plant Rows,N21-1481,Mx17-25,28,RM21-1481,2021,CLA,6.6-7.0,,G,52,988,16,,,I,,4,23.16,44.13
Plant Rows,N21-1482,Mx17-25,31,RM21-1482,2021,CLA,6.6-7.0,,G,52,751.7,16.5,,,I,,4,22.67,45.54
Plant Rows,N21-1483,Mx17-26,6,RM21-1483,2021,CLA,6.6-7.0,W,G,52,1207,16.8,,,D,,3,23.89,41.31
Plant Rows,N21-1484,Mx17-26,8,RM21-1484,2021,CLA,6.6-7.0,W,G,52,855.7,17.7,,,D,,4,24.03,41.68
Plant Rows,N21-1485,Mx17-26,11,RM21-1485,2021,CLA,6.6-7.0,P,G,52,1023.8,15.3,,,I,,3,22.48,44.02
Plant Rows,N21-1486,Mx17-26,29,RM21-1486,2021,CLA,6.6-7.0,P,G,52,949.7,16,,,I,,3,24.27,42.18
Plant Rows,N21-1487,Mx17-28,55,RM21-1487,2021,CLA,6.6-7.0,W,G,52,1027.6,13.5,,,I,,3,23.55,41.41
Plant Rows,N21-1488,Mx17-29,2,RM21-1488,2021,CLA,6.6-7.0,P,G,52,716.6,14.5,,,I,,4,21.25,44.91
Plant Rows,N21-1489,Mx17-29,3,RM21-1489,2021,CLA,6.6-7.0,P,G,52,833.6,16.9,,,I,,4,21.6,45.9
Plant Rows,N21-1490,Mx17-29,4,RM21-1490,2021,CLA,6.6-7.0,W,G,52,668,15.1,,,D,,4,20.97,45.85
Plant Rows,N21-1491,Mx17-29,6,RM21-1491,2021,CLA,6.6-7.0,W,T,52,654.4,15.7,,,I,,2,21.89,45.57
Plant Rows,N21-1492,Mx17-29,9,RM21-1492,2021,CLA,6.6-7.0,S,S,52,1067.3,17.1,,,I,,x,23.72,42.95
Plant Rows,N21-1493,Mx17-29,12,RM21-1493,2021,CLA,6.6-7.0,W,T,52,1120.9,16.6,,,I,,3,22.2,44.09
Plant Rows,N21-1494,Mx17-29,13,RM21-1494,2021,CLA,6.6-7.0,P,G,52,1137.6,17,,,I,,4,22.32,44.59
Plant Rows,N21-1495,Mx17-29,14,RM21-1495,2021,CLA,6.6-7.0,P,G,59,1503.3,15.6,,,I,,2.5,22.08,43.42
Plant Rows,N21-1496,Mx17-29,15,RM21-1496,2021,CLA,6.6-7.0,P,T,52,853.1,17.6,,,I,,5,21.72,45.25
Plant Rows,N21-1497,Mx17-29,16,RM21-1497,2021,CLA,6.6-7.0,W,T,52,917.1,15.3,,,I,,3.5,21.93,45.77
Plant Rows,N21-1498,Mx17-29,18,RM21-1498,2021,CLA,6.6-7.0,W,T,52,954.6,14.6,,,I,,3.5,22.35,43.33
Plant Rows,N21-1499,Mx17-29,20,RM21-1499,2021,CLA,6.6-7.0,W,G,52,935.7,15.9,,,I,,2.5,20.41,47.6
Plant Rows,N21-1500,Mx17-29,21,RM21-1500,2021,CLA,6.6-7.0,W,S,52,1130.1,16,,,I,,x,21.56,44.27
Plant Rows,N21-1501,Mx17-29,22,RM21-1501,2021,CLA,6.6-7.0,W,G,52,1140.7,17.2,,,I,,3,22.18,44.16
Plant Rows,N21-1502,Mx17-29,23,RM21-1502,2021,CLA,6.6-7.0,P,G,52,1083.2,16.8,,,I,,3,20.4,46.4
Plant Rows,N21-1503,Mx17-29,24,RM21-1503,2021,CLA,6.6-7.0,W,G,54,905.7,17.9,,,I,,3,19.89,47.99
Plant Rows,N21-1504,Mx17-29,28,RM21-1504,2021,CLA,6.6-7.0,W,G,54,1128.8,16.4,,,D,,4,20,47.6
Plant Rows,N21-1505,Mx17-29,31,RM21-1505,2021,CLA,6.6-7.0,W,G,52,964.8,17,,,I,,3,21.53,45.1
Plant Rows,N21-1506,Mx17-29,32,RM21-1506,2021,CLA,6.6-7.0,P,T,52,992.8,15.1,,,I,,3,21.16,46.61
Plant Rows,N21-1507,Mx17-29,38,RM21-1507,2021,CLA,6.6-7.0,W,G,52,1164.5,15.4,,,I,,4,21.41,44.71
Plant Rows,N21-1508,Mx17-29,42,RM21-1508,2021,CLA,6.6-7.0,P,S,52,1069.6,17.1,,,I,,x,20.57,46.24
Plant Rows,N21-1509,Mx17-29,43,RM21-1509,2021,CLA,6.6-7.0,P,T,52,850.8,16.9,,,I,,3.5,21.87,46.04
Plant Rows,N21-1510,Mx17-29,47,RM21-1510,2021,CLA,6.6-7.0,W,T,52,1258.6,18.6,,,I,,3,21.83,45.8
Plant Rows,N21-1511,Mx17-29,48,RM21-1511,2021,CLA,6.6-7.0,P,G,54,1016.6,20.2,,,I,,3,21.61,45.16
Plant Rows,N21-1512,Mx17-29,49,RM21-1512,2021,CLA,6.6-7.0,P,G,55,861.5,19.2,,,I,,3.5,21.12,47.08
Plant Rows,N21-1513,Mx17-29,51,RM21-1513,2021,CLA,6.6-7.0,W,G,52,991.1,15.9,,,I,,3,22.54,45.28
Plant Rows,N21-1514,Mx17-29,52,RM21-1514,2021,CLA,6.6-7.0,W,G,52,693.6,15.5,,,I,,3,20.45,45.69
Plant Rows,N21-1515,Mx17-29,57,RM21-1515,2021,CLA,6.6-7.0,W,T,52,742.9,17,,,I,,3,20.61,46.58
Plant Rows,N21-1516,Mx17-29,60,RM21-1516,2021,CLA,6.6-7.0,P,T,52,1148.9,19.6,,,I,,3,22.25,45.04
Plant Rows,N21-1517,Mx17-29,61,RM21-1517,2021,CLA,6.6-7.0,W,T,52,853.9,15.9,,,I,,3.5,21.52,46.45
Plant Rows,N21-1518,Mx17-29,63,RM21-1518,2021,CLA,6.6-7.0,P,T,52,718.4,17.1,,,D,,4,20.83,46.89
Plant Rows,N21-1519,Mx17-29,64,RM21-1519,2021,CLA,6.6-7.0,W,G,53,775.5,14.3,,,I,,3,20.43,46.91
Plant Rows,N21-1520,Mx17-29,65,RM21-1520,2021,CLA,6.6-7.0,P,G,55,728.4,15.8,,,I,,3.5,20.51,45.82
Plant Rows,N21-1521,Mx17-29,66,RM21-1521,2021,CLA,6.6-7.0,P,T,52,1018.9,16.8,,,I,,3.5,22.01,45.58
Plant Rows,N21-1522,Mx17-29,67,RM21-1522,2021,CLA,6.6-7.0,P,S,52,1202.7,17,,,I,,x,22.61,44.98
Plant Rows,N21-1523,Mx17-30,14,RM21-1523,2021,CLA,6.6-7.0,P,G,52,1126.3,14.9,,,I,,3,24.43,41.58
